#;Código;País;Partida;Descripción;Peso Neto Kg.;Valor FOB USD.;fechaInicio;fechaFinal
51;NL;Países Bajos (Holanda);901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;4507858.7;24744482.73;01/01/2022;30/09/2022
52;PL;Polonia;2603000000;MINERALES DE COBRE Y SUS CONCENTRADOS;9987970;24507601.2;01/01/2022;30/09/2022
53;SE;Suecia;2603000000;MINERALES DE COBRE Y SUS CONCENTRADOS;10012621;23164478.06;01/01/2022;30/09/2022
54;ES;España;7403110000;CÁTODOS Y SECCIONES DE CÁTODOS DE COBRE REFINADO;2299356.15;22361077.24;01/01/2022;30/09/2022
55;LV;Letonia;2607000000;MINERALES DE PLOMO Y SUS CONCENTRADOS.;2308736;22333911.06;01/01/2022;30/09/2022
56;GB;Reino Unido;709200000;ESPÁRRAGOS, FRESCOS O REFRIGERADOS;5071343.66;21948388.72;01/01/2022;30/09/2022
57;ES;España;709200000;ESPÁRRAGOS, FRESCOS O REFRIGERADOS;6759426.16;20367099.7;01/01/2022;30/09/2022
58;IT;Italia;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;4733312.54;18976984.23;01/01/2022;30/09/2022
59;BE;Bélgica;2607000000;MINERALES DE PLOMO Y SUS CONCENTRADOS.;5196719;18784580.17;01/01/2022;30/09/2022
60;IT;Italia;307430000;"JIBIAS (SEPIAS)* Y GLOBITOS; CALAMARES Y POTAS CONGELADOS";9169150.1;18129782.93;01/01/2022;30/09/2022
61;ES;España;2005991000;ALCACHOFAS (ALCAUCILES);6209565.82;17093035.09;01/01/2022;30/09/2022
62;FR;Francia;2710191510;CARBURORREACTORES TIPO QUEROSENO PARA REACTORES Y TURBINAS DESTINADO A LAS EMPRESAS DE AVIACIÓN;13627686.59;16625841.34;01/01/2022;30/09/2022
63;NL;Países Bajos (Holanda);1209919000;DEMÁS SEMILLAS DE HORTALIZAS;26716.2;16599324.66;01/01/2022;30/09/2022
64;FR;Francia;307229000;VOLANDEIRAS Y DEMÁS MOLUSCOS DE LOS GÉNEROS PECTEN, CHLAMYS O PLACOPECTEN (CONCHAS DE ABANICO), CONGELADOS;1018046.92;16276104.03;01/01/2022;30/09/2022
65;ES;España;804502000;MANGOS Y MANGOSTANES, FRESCOS O SECOS;9000922.5;15353657;01/01/2022;30/09/2022
66;GB;Reino Unido;2817001000;ÓXIDO DE CINC (BLANCO O FLOR DE CINC);4348250;15131247.23;01/01/2022;30/09/2022
67;FR;Francia;1504201000;GRASAS Y ACEITES DE PESCADO Y SUS FRACCIONES EXCEPTO ACEITE DE HÍGADO EN BRUTO;4310670;14625593.1;01/01/2022;30/09/2022
68;FR;Francia;2005600000;ESPÁRRAGOS PREPARADOS O CONSERVADOS, SIN CONGELAR;3483315.25;14484507.16;01/01/2022;30/09/2022
69;ES;España;806100000;UVAS FRESCAS;6437379.6;14124667.72;01/01/2022;30/09/2022
70;FR;Francia;7905000011;LAMINADOS PLANOS DE CINC DE ESPESOR INFERIOR O IGUAL A 0,65 MM;3161247;14026948.15;01/01/2022;30/09/2022
71;BG;Bulgaria;2608000090;CONCENTRADOS DE CINC EXCEPTO DE BAJA LEY;9181762;13552790.58;01/01/2022;30/09/2022
72;FR;Francia;2701110000;ANTRACITAS;35261306;13320297.57;01/01/2022;30/09/2022
73;BE;Bélgica;2701110000;ANTRACITAS;35758113;13156059.06;01/01/2022;30/09/2022
74;GB;Reino Unido;811909900;LOS DEMÁS FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, SIN ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.;4301924.78;12910880.37;01/01/2022;30/09/2022
75;DK;Dinamarca;3205000000;"LACAS COLORANTES; PREPARACIONES A QUE SE REFIERE LA NOTA 3 DE ESTE CAPÍTULO A BASE DE LACAS COLORANTES";144085.1;12823859.41;01/01/2022;30/09/2022
76;NL;Países Bajos (Holanda);1511100000;ACEITE DE PALMA EN BRUTO;9649390;12673826.41;01/01/2022;30/09/2022
77;DE;Alemania;8001100000;ESTAÑO EN BRUTO, SIN ALEAR;349939.6;12648679.91;01/01/2022;30/09/2022
78;ES;España;1511100000;ACEITE DE PALMA EN BRUTO;9492000;12141786.72;01/01/2022;30/09/2022
79;NL;Países Bajos (Holanda);2701110000;ANTRACITAS;66032776;11866983.25;01/01/2022;30/09/2022
80;GB;Reino Unido;804502000;MANGOS Y MANGOSTANES, FRESCOS O SECOS;11197425.02;11685370.77;01/01/2022;30/09/2022
81;NL;Países Bajos (Holanda);1518009000;"DEMÁS GRASAS Y ACEITES ANIMALES O VEGETALES Y SUS FRACCIONES, COCIDOS, OXIDADOS, DESHIDRATADOS, SULFURADOS, SOPLADOS, POLIMERIZADOS POR CALOR EN VACÍO O ATMÓSFERA INERTE («ESTANDOLIZADOS»), O MODIFICADOS QUÍMICAMENTE DE OTRA FORMA, EXCEPTO LOS DE LA PARTIDA 15.16; MEZCLAS O PREPARACIONES NO ALIMENTICIAS DE GRASAS O DE ACEITES, ANIMALES O VEGETALES, O DE FRACCIONES DE DIFERENTES GRASAS O ACEITES DE ESTE CAPÍTULO, NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE";8573805.78;11495878.69;01/01/2022;30/09/2022
82;ES;España;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;2522017;11227262.28;01/01/2022;30/09/2022
83;NL;Países Bajos (Holanda);811909900;LOS DEMÁS FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, SIN ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.;3409724.17;11070495.29;01/01/2022;30/09/2022
84;NL;Países Bajos (Holanda);2817001000;ÓXIDO DE CINC (BLANCO O FLOR DE CINC);2979000;10748625.08;01/01/2022;30/09/2022
85;BE;Bélgica;811909100;MANGO (MANGIFERA INDICA L.);5433483.04;10719210.3;01/01/2022;30/09/2022
86;DE;Alemania;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;2677171.92;10316349.11;01/01/2022;30/09/2022
87;NL;Países Bajos (Holanda);811909100;MANGO (MANGIFERA INDICA L.);5982238.93;10108478.36;01/01/2022;30/09/2022
88;GB;Reino Unido;805299000;WILKINGS E HÍBRIDOS SIMILARES DE AGRIOS (CÍTRICOS) EXCEPTO TANGELO;10140517.54;9979097.85;01/01/2022;30/09/2022
89;ES;España;904211090;LOS DEMÁS PAPRIKA (CAPSICUM ANNUUM, L) SECOS, SIN TRITURAR NI PULVERIZAR EXCEPTO EN TROZOS O RODAJAS.;4260675.65;9800429.38;01/01/2022;30/09/2022
90;FR;Francia;4409229020;MADERA MOLDURADA DE MADERAS TROPICALES EXCEPTO DE IPÉ;3637464.35;9393975.24;01/01/2022;30/09/2022
91;NL;Países Bajos (Holanda);3301130000;ACEITES ESENCIALES DE LIMÓN.;187326.24;9259745.49;01/01/2022;30/09/2022
92;DK;Dinamarca;2301201100;HARINA DE PESCADO CON UN CONTENIDO DE GRASA SUPERIOR A 2% EN PESO;5499445;9072991.75;01/01/2022;30/09/2022
93;NL;Países Bajos (Holanda);910110000;JENGIBRE SIN TRITURAR NI PULVERIZAR;8833542.82;9035754.86;01/01/2022;30/09/2022
94;NL;Países Bajos (Holanda);805299000;WILKINGS E HÍBRIDOS SIMILARES DE AGRIOS (CÍTRICOS) EXCEPTO TANGELO;8135185.5;8987433.87;01/01/2022;30/09/2022
95;IT;Italia;7905000012;LAMINADOS PLANOS DE CINC DE ESPESOR SUPERIOR A 0,65 MM;1902689;8824978.63;01/01/2022;30/09/2022
96;GB;Reino Unido;1604141000;ATUNES ENTERO O EN TROZOS , EXCEPTO PICADO;2190607.2;8823692;01/01/2022;30/09/2022
97;DE;Alemania;6109100039;LOS DEMÁS T-SHIRTS DE ALGODÓN, PARA HOMBRES O MUJERES;214201.7;8804383.66;01/01/2022;30/09/2022
98;BG;Bulgaria;2701110000;ANTRACITAS;42637133;8727394.76;01/01/2022;30/09/2022
99;ES;España;306171100;LANGOSTINOS ENTEROS CONGELADOS;1750525;8725839.83;01/01/2022;30/09/2022
100;NL;Países Bajos (Holanda);1209915000;SEMILLAS DE TOMATES (LICOPERSICUM SPP.);4261.29;8694482.61;01/01/2022;30/09/2022
101;DE;Alemania;7408210000;ALAMBRE DE COBRE DE ALEACIONES DE COBRE A BASE DE COBRE-CINC (LATÓN);980776;8421482.25;01/01/2022;30/09/2022
102;NL;Países Bajos (Holanda);7403110000;CÁTODOS Y SECCIONES DE CÁTODOS DE COBRE REFINADO;1069143;8399745.44;01/01/2022;30/09/2022
103;ES;España;306171300;COLAS DE LANGOSTINOS CONGELADAS, CON CAPARAZÓN, SIN COSER EN AGUA O VAPOR;1229894.2;8390072.9;01/01/2022;30/09/2022
104;DE;Alemania;6105100051;CAMISAS DE PUNTO ALGODÓN CON CUELLO Y ABERTURA DELANTERA PARCIAL PARA HOMBRE, DE TEJIDO TEÑIDO DE UN SÓLO COLOR INCLUIDO LOS BLANQUEADOS;173331.95;8148481.87;01/01/2022;30/09/2022
105;NL;Países Bajos (Holanda);601100000;BULBOS,CEBOLLAS,TUBÉRCULOS, RAÍCES Y BULBOS TUBEROSOS, TURIONES Y RIZOMAS, EN REPOSO VEGETATIVO;2987630.85;8117043.99;01/01/2022;30/09/2022
106;DE;Alemania;2005600000;ESPÁRRAGOS PREPARADOS O CONSERVADOS, SIN CONGELAR;2704729.53;7953650.47;01/01/2022;30/09/2022
107;ES;España;1604160000;PREPARACIONES Y CONSERVAS DE ANCHOAS ENTERO O EN TROZOS, EXCEPTO PICADO;1062363.93;7943008.27;01/01/2022;30/09/2022
108;GB;Reino Unido;708100000;ARVEJAS (GUISANTES, CHICHAROS) (PISUM SATIVUM) FRESCAS O REFRIGERADAS;2280519;7848448.96;01/01/2022;30/09/2022
109;GB;Reino Unido;3301130000;ACEITES ESENCIALES DE LIMÓN.;168425.29;7831280.26;01/01/2022;30/09/2022
110;RO;Rumania;7901120000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC INFERIOR AL 99,99% EN PESO;1920228;7138589.03;01/01/2022;30/09/2022
